Wavelength (nm),Intensity
5.332537231445312500e+02,1.555208301544189453e+01
5.334627075195312500e+02,1.555208301544189453e+01
5.336716308593750000e+02,1.555208301544189453e+01
5.338806152343750000e+02,1.555208301544189453e+01
5.340895385742187500e+02,1.555208301544189453e+01
5.342985229492187500e+02,1.555208301544189453e+01
5.345074462890625000e+02,1.555208301544189453e+01
5.347164306640625000e+02,1.555208301544189453e+01
5.349253540039062500e+02,0.000000000000000000e+00
5.351343383789062500e+02,0.000000000000000000e+00
5.353432617187500000e+02,0.000000000000000000e+00
5.355522460937500000e+02,0.000000000000000000e+00
5.357611694335937500e+02,0.000000000000000000e+00
5.359701538085937500e+02,0.000000000000000000e+00
5.361790771484375000e+02,0.000000000000000000e+00
5.363880615234375000e+02,0.000000000000000000e+00
5.365969848632812500e+02,0.000000000000000000e+00
5.368059692382812500e+02,0.000000000000000000e+00
5.370149536132812500e+02,0.000000000000000000e+00
5.372238769531250000e+02,0.000000000000000000e+00
5.374328613281250000e+02,0.000000000000000000e+00
5.376417846679687500e+02,0.000000000000000000e+00
5.378507690429687500e+02,0.000000000000000000e+00
5.380596923828125000e+02,0.000000000000000000e+00
5.382686767578125000e+02,1.808333396911621094e+01
5.384776000976562500e+02,1.848958396911621094e+01
5.386865844726562500e+02,2.343750000000000000e+01
